availability,id,link,title,description,image_link,price
in stock,16054258397340848487140740,https://alphus-u.com/products/men's-low-waist-printed-camouflage-briefs,Men's low waist printed camouflage briefs,"<ul>
 <li>Polyester</li>
 </ul>
 <table style=""width: 292.52pt;"" border=""0"" width=""390"" cellspacing=""0"" cellpadding=""0""><colgroup> <col style=""width: 109.00pt;"" width=""145"" /> <col style=""width: 90.05pt;"" width=""120"" /> <col style=""width: 93.80pt;"" width=""125"" /> </colgroup>
 <tbody>
 <tr style=""height: 15.00pt;"">
 <td class=""et2"" style=""height: 15.00pt; width: 109.00pt;"" width=""145"" height=""20""><strong>Size</strong></td>
 <td class=""et3"" style=""width: 90.05pt;"" width=""120""><strong>Height(cm)</strong></td>
 <td class=""et3"" style=""width: 93.80pt;"" width=""125""><strong>Weight(kg)</strong></td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et2"" style=""height: 15.00pt;"" height=""20""><strong>M</strong></td>
 <td class=""et2""><strong>165- 170</strong></td>
 <td class=""et2""><strong>45 - 55kg</strong></td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et2"" style=""height: 15.00pt;"" height=""20""><strong>L</strong></td>
 <td class=""et2""><strong>170-175</strong></td>
 <td class=""et2""><strong>56 - 65kg</strong></td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et2"" style=""height: 15.00pt;"" height=""20""><strong>XL</strong></td>
 <td class=""et2""><strong>175 - 180</strong></td>
 <td class=""et2""><strong>66 -75kg</strong></td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et2"" style=""height: 15.00pt;"" height=""20""><strong>XXL</strong></td>
 <td class=""et2""><strong>180 - 185</strong></td>
 <td class=""et2""><strong>76 - 85kg</strong></td>
 </tr>
 </tbody>
 </table>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/b8ac9a6882534093980779223d4b91dd.jpg?w=851&h=854,11.99 USD
in stock,16054242689168884234700740,https://alphus-u.com/products/men's-camouflage-low-waist-boxer-briefs,Men's camouflage low waist boxer briefs,"<ul>
 <li>Nylon</li>
 </ul>
 <table style=""text-align: center; width: 278.27pt;"" border=""0"" width=""371"" cellspacing=""0"" cellpadding=""0""><colgroup><col style=""width: 54.00pt;"" width=""72"" /><col style=""width: 92.25pt;"" width=""123"" /><col style=""width: 132.65pt;"" width=""176"" /></colgroup>
 <tbody>
 <tr style=""height: 12.75pt;"">
 <td class=""et2"" style=""height: 12.75pt; width: 54.00pt;"" width=""72"" height=""17"">Size</td>
 <td class=""et3"" style=""width: 92.25pt;"" width=""123"">Waist(cm)</td>
 <td class=""et3"" style=""width: 132.65pt;"" width=""176"">Hips(cm)</td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et4"" style=""height: 15.00pt;"" height=""20"">S</td>
 <td class=""et5"">66-70</td>
 <td class=""et5"">84-88</td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et5"" style=""height: 15.00pt;"" height=""20"">M</td>
 <td class=""et5"">70-76</td>
 <td class=""et5"">88-92</td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et5"" style=""height: 15.00pt;"" height=""20"">L</td>
 <td class=""et5"">78-82</td>
 <td class=""et5"">92-96</td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et5"" style=""height: 15.00pt;"" height=""20"">XL</td>
 <td class=""et5"">82-88</td>
 <td class=""et5"">96-100</td>
 </tr>
 <tr style=""height: 15.00pt;"">
 <td class=""et6"" style=""height: 15.00pt;"" height=""20"">XXL</td>
 <td class=""et6"">90-96</td>
 <td class=""et6"">100-104</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/63776dcb54b648f7a330924eed6e9a8e.jpg?w=800&h=800,11.99 USD
in stock,16054226713766571284890740,https://alphus-u.com/products/men's-bow-slit-low-waist-thong,Men's bow slit low waist thong,"<body>
  <p></p>
  <ul>
  <li>Polyester</li>
  </ul>
  <p></p>
  <p><img src=""https://publish-cos.mabangerp.com/product/publish/251705/20220526/25170520220526134112628f12f899c6a.jpeg"" style=""max-width:100%;""><br></p>
  <p><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/faba2605ebe24f0c87a1e9223b324a36.jpg?w=800&h=800,14.99 USD
in stock,16054226711897589443290740,https://alphus-u.com/products/men's-button-solid-briefs,Men's button solid briefs,"<body>
  <ul>
  <li>Nylon</li>
  </ul>
  <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""162"" height=""133"" style=""width: 121.53pt;"">
  <colgroup>
  <col width=""62"" style=""width: 46.5pt;"">
  <col width=""100"" style=""width: 75pt;"">
  </colgroup>
  <tbody>
  <tr height=""20"" style=""height: 15pt;"">
  <td class=""et2"" height=""20"" width=""62"" x:str="""" style=""height: 15pt; width: 46.5pt;"">Size</td>
  <td class=""et3"" width=""100"" x:str="""" style=""width: 75pt;"">Waist(cm)</td>
  </tr>
  <tr height=""25"" style=""height: 18.75pt;"">
  <td class=""et4"" height=""25"" x:str="""" style=""height: 18.75pt;"">M</td>
  <td class=""et5"" x:str="""">68-78</td>
  </tr>
  <tr height=""22"" style=""height: 16.5pt;"">
  <td class=""et6"" height=""22"" x:str="""" style=""height: 16.5pt;"">L</td>
  <td class=""et5"" x:str="""">72-82</td>
  </tr>
  <tr height=""22"" style=""height: 16.5pt;"">
  <td class=""et6"" height=""22"" x:str="""" style=""height: 16.5pt;"">XL</td>
  <td class=""et5"" x:str="""">76-86</td>
  </tr>
  <tr height=""22"" style=""height: 16.5pt;"">
  <td class=""et6"" height=""22"" x:str="""" style=""height: 16.5pt;"">2XL</td>
  <td class=""et5"" x:str="""">80-90</td>
  </tr>
  <tr height=""22"" style=""height: 16.5pt;"">
  <td class=""et6"" height=""22"" x:str="""" style=""height: 16.5pt;"">3XL</td>
  <td class=""et5"" x:str="""">84-94</td>
  </tr>
  </tbody>
  </table>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/648eabd384ac41229b51cf43008f1653.jpg?w=800&h=800,12.99 USD
in stock,16054199011861019761050740,https://alphus-u.com/products/jockmail-men's-push-print-low-rise-briefs,"JOCKMAIL Men's ""PUSH"" print low-rise briefs","<p>&nbsp;</p>
 <ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://cbu01.alicdn.com/img/ibank/2018/692/456/9253654296_921560136.jpg"" /> </p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/029bbb226eaf45de84b84446737f9d85.jpg?w=800&h=800,15.99 USD
in stock,16054189268129768786590740,https://alphus-u.com/products/jockmail-men's-tiger-print-low-rise-briefs,JOCKMAIL men's tiger print low-rise briefs,"<body>
  <ul>
  <li>Nylon</li>
  </ul>
  <p><img src=""https://cbu01.alicdn.com/img/ibank/2018/692/456/9253654296_921560136.jpg""><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/9954154f43a74bad9fde38b90fb24e2b.jpg?w=800&h=800,15.99 USD
in stock,16054153558567233505440740,https://alphus-u.com/products/orlvs-men's-cotton-stretch-briefs,ORLVS men's cotton stretch briefs,"<body>
  <ul>
  <li>Cotton</li>
  </ul>
  <p><img src=""https://publish-cos.mabangerp.com/product/publish/251705/20220521/2517052022052112443062886e2e0aa84.jpeg"" style=""max-width:100%;""><br></p>
  <p><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/c215cee635564b21b4539b4beda9dbf2.jpg?w=800&h=800,13.99 USD
in stock,16054141416340017408470740,https://alphus-u.com/products/jockmail-men's-mesh-quick-drying-briefs,JOCKMAIL men's mesh quick-drying briefs,"<body>
  <ul>
  <li>Nylon</li>
  </ul>
  <p><img src=""https://cbu01.alicdn.com/img/ibank/2020/741/291/18347192147_921560136.jpg"" class=""clicked"" style=""""><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/25be3b0c7e224fdb9c28c4dab674d3b0.jpg?w=1000&h=1000,15.99 USD
in stock,16054127962690171351390740,https://alphus-u.com/products/men's-top-print-cotton-sports-briefs,"Men's ""TOP ""print cotton sports briefs","<p>&nbsp;</p>
 <ul>
 <li>Cotton</li>
 </ul>
 <table>
 <tbody>
 <tr>
 <td>Size</td>
 <td>Weight(kg)</td>
 </tr>
 <tr>
 <td>M</td>
 <td>50-57</td>
 </tr>
 <tr>
 <td>L</td>
 <td>56-65</td>
 </tr>
 <tr>
 <td>XL</td>
 <td>65-70</td>
 </tr>
 <tr>
 <td>XXL</td>
 <td>70-77</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/0400ce4639d74b34beca07d5d92a535e.jpg?w=800&h=800,34.99 USD
in stock,16054116840878062612510740,https://alphus-u.com/products/men's-low-waist-hungry-bottom-print-briefs,"Men's low waist ""HUNGRY BOTTOM"" print briefs","<body>
  <ul>
  <li>Nylon</li>
  </ul>
  <img src=""https://cbu01.alicdn.com/img/ibank/2018/692/456/9253654296_921560136.jpg"" class="""">
  <br>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/1dcac79647eb4851aa437ffbadd1e858.jpg?w=1080&h=1080,15.99 USD
